gmId,IdW,Vov,Vth,CdbW,CsbW
1.27843137254902,25.5,1.414,0.656,7.25e-10,1.06e-09
1.296,25,1.404,0.656,7.26e-10,1.06e-09
1.31020408163265,24.5,1.384,0.656,7.27e-10,1.06e-09
1.32916666666667,24,1.364,0.656,7.28e-10,1.06e-09
1.33898305084746,23.6,1.354,0.656,7.3e-10,1.06e-09
1.35930735930736,23.1,1.344,0.656,7.31e-10,1.06e-09
1.37610619469027,22.6,1.324,0.656,7.32e-10,1.06e-09
1.39189189189189,22.2,1.314,0.656,7.33e-10,1.06e-09
1.41013824884793,21.7,1.294,0.656,7.34e-10,1.06e-09
1.42924528301887,21.2,1.284,0.656,7.35e-10,1.06e-09
1.44711538461538,20.8,1.264,0.656,7.36e-10,1.06e-09
1.4679802955665,20.3,1.254,0.656,7.38e-10,1.06e-09
1.48743718592965,19.9,1.234,0.656,7.39e-10,1.06e-09
1.51030927835052,19.4,1.224,0.656,7.4e-10,1.06e-09
1.52631578947368,19,1.204,0.656,7.41e-10,1.06e-09
1.54301075268817,18.6,1.184,0.656,7.42e-10,1.06e-09
1.57458563535912,18.1,1.174,0.656,7.43e-10,1.06e-09
1.59322033898305,17.7,1.154,0.656,7.45e-10,1.06e-09
1.61271676300578,17.3,1.144,0.656,7.46e-10,1.06e-09
1.63313609467456,16.9,1.124,0.656,7.47e-10,1.06e-09
1.65454545454545,16.5,1.114,0.656,7.48e-10,1.06e-09
1.6875,16,1.094,0.656,7.5e-10,1.06e-09
1.71794871794872,15.6,1.084,0.656,7.51e-10,1.06e-09
1.74342105263158,15.2,1.074,0.656,7.52e-10,1.06e-09
1.77027027027027,14.8,1.054,0.656,7.53e-10,1.06e-09
1.78620689655172,14.5,1.044,0.656,7.55e-10,1.06e-09
1.81560283687943,14.1,1.024,0.656,7.56e-10,1.06e-09
1.84671532846715,13.7,1.014,0.656,7.57e-10,1.06e-09
1.8796992481203,13.3,0.994,0.656,7.59e-10,1.06e-09
1.91472868217054,12.9,0.984,0.656,7.6e-10,1.06e-09
1.93650793650794,12.6,0.964,0.656,7.61e-10,1.06e-09
1.9672131147541,12.2,0.944,0.656,7.63e-10,1.06e-09
2.00847457627119,11.8,0.934,0.656,7.64e-10,1.06e-09
2.03478260869565,11.5,0.914,0.656,7.65e-10,1.06e-09
2.08108108108108,11.1,0.904,0.656,7.67e-10,1.06e-09
2.11111111111111,10.8,0.884,0.656,7.68e-10,1.06e-09
2.14285714285714,10.5,0.874,0.656,7.7e-10,1.06e-09
2.18811881188119,10.1,0.854,0.656,7.71e-10,1.06e-09
2.2267620020429,9.79,0.844,0.656,7.72e-10,1.06e-09
2.27032734952482,9.47,0.834,0.656,7.74e-10,1.06e-09
2.30601092896175,9.15,0.814,0.656,7.75e-10,1.06e-09
2.35560588901472,8.83,0.804,0.656,7.77e-10,1.06e-09
2.40610328638498,8.52,0.784,0.656,7.78e-10,1.06e-09
2.44525547445255,8.22,0.774,0.656,7.8e-10,1.06e-09
2.5,7.92,0.754,0.656,7.81e-10,1.06e-09
2.55905511811024,7.62,0.744,0.656,7.83e-10,1.06e-09
2.60572987721692,7.33,0.724,0.656,7.84e-10,1.06e-09
2.66666666666667,7.05,0.704,0.656,7.86e-10,1.06e-09
2.7178729689808,6.77,0.694,0.656,7.87e-10,1.06e-09
2.78890600924499,6.49,0.674,0.656,7.89e-10,1.06e-09
2.84565916398714,6.22,0.664,0.656,7.91e-10,1.06e-09
2.91946308724832,5.96,0.644,0.656,7.92e-10,1.06e-09
2.98245614035088,5.7,0.634,0.656,7.94e-10,1.06e-09
3.04587155963303,5.45,0.614,0.656,7.96e-10,1.06e-09
3.13461538461539,5.2,0.604,0.656,7.97e-10,1.06e-09
3.20564516129032,4.96,0.594,0.656,7.99e-10,1.06e-09
3.30508474576271,4.72,0.574,0.656,8.01e-10,1.06e-09
3.38530066815145,4.49,0.564,0.656,8.02e-10,1.06e-09
3.46604215456674,4.27,0.544,0.656,8.04e-10,1.06e-09
3.55555555555556,4.05,0.534,0.656,8.06e-10,1.06e-09
3.68146214099217,3.83,0.514,0.656,8.08e-10,1.06e-09
3.77410468319559,3.63,0.504,0.656,8.09e-10,1.06e-09
3.88888888888889,3.42,0.484,0.656,8.11e-10,1.06e-09
4.00621118012422,3.22,0.464,0.656,8.13e-10,1.06e-09
4.15841584158416,3.03,0.454,0.656,8.15e-10,1.06e-09
4.28070175438596,2.85,0.434,0.656,8.17e-10,1.06e-09
4.41947565543071,2.67,0.424,0.656,8.19e-10,1.06e-09
4.57831325301205,2.49,0.404,0.656,8.2e-10,1.06e-09
4.72103004291846,2.33,0.394,0.656,8.22e-10,1.06e-09
4.90740740740741,2.16,0.374,0.656,8.24e-10,1.06e-09
5.07462686567164,2.01,0.364,0.656,8.26e-10,1.06e-09
5.27956989247312,1.86,0.344,0.656,8.28e-10,1.06e-09
5.50877192982456,1.71,0.334,0.656,8.3e-10,1.06e-09
5.74522292993631,1.57,0.319,0.656,8.32e-10,1.06e-09
5.97916666666667,1.44,0.304,0.656,8.34e-10,1.06e-09
6.26717557251908,1.31,0.289,0.656,8.36e-10,1.06e-09
6.5546218487395,1.19,0.274,0.656,8.39e-10,1.06e-09
6.83333333333333,1.08,0.259,0.656,8.41e-10,1.06e-09
7.17078189300411,0.972,0.244,0.656,8.43e-10,1.06e-09
7.54022988505747,0.87,0.229,0.656,8.45e-10,1.06e-09
7.92258064516129,0.775,0.214,0.656,8.47e-10,1.06e-09
8.35276967930029,0.686,0.199,0.656,8.49e-10,1.06e-09
8.80597014925373,0.603,0.184,0.656,8.52e-10,1.06e-09
9.31558935361217,0.526,0.169,0.656,8.54e-10,1.06e-09
9.84649122807017,0.456,0.154,0.656,8.56e-10,1.06e-09
10.460358056266,0.391,0.139,0.656,8.59e-10,1.06e-09
11.0810810810811,0.333,0.124,0.656,8.61e-10,1.06e-09
11.7857142857143,0.28,0.109,0.656,8.63e-10,1.06e-09
12.4786324786325,0.234,0.094,0.656,8.66e-10,1.06e-09
13.2642487046632,0.193,0.079,0.656,8.68e-10,1.06e-09
