gmId,IdW,Vov,Vth,CdbW,CsbW
1.34751773049645,14.1,1.363,-0.777,6.79e-10,9.24e-10
1.35251798561151,13.9,1.353,-0.777,6.8e-10,9.24e-10
1.36764705882353,13.6,1.333,-0.777,6.81e-10,9.24e-10
1.39097744360902,13.3,1.323,-0.777,6.81e-10,9.24e-10
1.3969465648855,13.1,1.303,-0.777,6.82e-10,9.24e-10
1.421875,12.8,1.293,-0.777,6.83e-10,9.24e-10
1.44,12.5,1.273,-0.777,6.84e-10,9.24e-10
1.44715447154472,12.3,1.263,-0.777,6.84e-10,9.24e-10
1.475,12,1.243,-0.777,6.85e-10,9.24e-10
1.4957264957265,11.7,1.233,-0.777,6.86e-10,9.24e-10
1.50434782608696,11.5,1.223,-0.777,6.87e-10,9.24e-10
1.53571428571429,11.2,1.203,-0.777,6.88e-10,9.24e-10
1.54545454545455,11,1.193,-0.777,6.88e-10,9.24e-10
1.57009345794393,10.7,1.173,-0.777,6.89e-10,9.24e-10
1.59047619047619,10.5,1.163,-0.777,6.9e-10,9.24e-10
1.60194174757282,10.3,1.143,-0.777,6.91e-10,9.24e-10
1.63,10,1.133,-0.777,6.92e-10,9.24e-10
1.65644171779141,9.78,1.113,-0.777,6.92e-10,9.24e-10
1.67539267015707,9.55,1.103,-0.777,6.93e-10,9.24e-10
1.69527896995708,9.32,1.083,-0.777,6.94e-10,9.24e-10
1.71617161716172,9.09,1.073,-0.777,6.95e-10,9.24e-10
1.74943566591422,8.86,1.063,-0.777,6.96e-10,9.24e-10
1.77083333333333,8.64,1.043,-0.777,6.97e-10,9.24e-10
1.79548156956005,8.41,1.033,-0.777,6.97e-10,9.24e-10
1.81707317073171,8.2,1.013,-0.777,6.98e-10,9.24e-10
1.8546365914787,7.98,1.003,-0.777,6.99e-10,9.24e-10
1.87902187902188,7.77,0.983,-0.777,7e-10,9.24e-10
1.90728476821192,7.55,0.973,-0.777,7.01e-10,9.24e-10
1.93197278911565,7.35,0.953,-0.777,7.02e-10,9.24e-10
1.96078431372549,7.14,0.943,-0.777,7.03e-10,9.24e-10
2.0028818443804,6.94,0.933,-0.777,7.04e-10,9.24e-10
2.0326409495549,6.74,0.913,-0.777,7.04e-10,9.24e-10
2.06422018348624,6.54,0.903,-0.777,7.05e-10,9.24e-10
2.09779179810726,6.34,0.883,-0.777,7.06e-10,9.24e-10
2.13008130081301,6.15,0.873,-0.777,7.07e-10,9.24e-10
2.16442953020134,5.96,0.853,-0.777,7.08e-10,9.24e-10
2.21837088388215,5.77,0.843,-0.777,7.09e-10,9.24e-10
2.25402504472272,5.59,0.823,-0.777,7.1e-10,9.24e-10
2.29205175600739,5.41,0.813,-0.777,7.11e-10,9.24e-10
2.33269598470363,5.23,0.793,-0.777,7.12e-10,9.24e-10
2.37623762376238,5.05,0.783,-0.777,7.13e-10,9.24e-10
2.41803278688525,4.88,0.773,-0.777,7.14e-10,9.24e-10
2.46284501061571,4.71,0.753,-0.777,7.15e-10,9.24e-10
2.51101321585903,4.54,0.743,-0.777,7.16e-10,9.24e-10
2.55707762557078,4.38,0.723,-0.777,7.17e-10,9.24e-10
2.61282660332542,4.21,0.713,-0.777,7.18e-10,9.24e-10
